category,severity,key,detail
execution,low,trdmatchid,"{""trdmatchid"":""8ed66a15…"",""file"":""aoa-execution-2018-03-01-2018-12-31.csv"",""ts"":""2018-11-13 09:43:46.78979"",""symbol"":""BCHZ18"",""side"":""Buy"",""lastqty"":1,""lastpx"":0.0654,""liquidity"":""RemovedLiquidity""}"
execution,low,trdmatchid,"{""trdmatchid"":""05aef01a…"",""file"":""aoa-execution-2019-01-01-2020-12-31.csv"",""ts"":""2019-03-30 04:06:22.046248"",""symbol"":""XBTUSD"",""side"":""Buy"",""lastqty"":200,""lastpx"":4078,""liquidity"":""AddedLiquidity""}"
execution,low,trdmatchid,"{""trdmatchid"":""e77b0d34…"",""file"":""aoa-execution-2019-01-01-2020-12-31.csv"",""ts"":""2019-04-16 18:11:27.039934"",""symbol"":""XBTUSD"",""side"":""Buy"",""lastqty"":6971,""lastpx"":5207.5,""liquidity"":""AddedLiquidity""}"
execution,low,time_inversion,"{""file"":""aoa-execution-2018-03-01-2018-12-31.csv"",""prevTs"":""2018-03-05 10:35:08.14342"",""ts"":""2018-03-05 07:28:18.063937"",""symbol"":""XBTUSD"",""type"":""Trade""}"
execution,low,time_inversion,"{""file"":""aoa-execution-2018-03-01-2018-12-31.csv"",""prevTs"":""2018-03-05 20:37:37.834668"",""ts"":""2018-03-05 18:44:09.799976"",""symbol"":""XBTUSD"",""type"":""Trade""}"
execution,low,time_inversion,"{""file"":""aoa-execution-2018-03-01-2018-12-31.csv"",""prevTs"":""2018-03-05 18:54:44.152336"",""ts"":""2018-03-05 12:00:00.0"",""symbol"":""XBTUSD"",""type"":""Funding""}"
execution,low,time_inversion,"{""file"":""aoa-execution-2018-03-01-2018-12-31.csv"",""prevTs"":""2018-03-06 20:00:00.0"",""ts"":""2018-03-06 00:03:12.792359"",""symbol"":""XBTUSD"",""type"":""Trade""}"
execution,low,time_inversion,"{""file"":""aoa-execution-2018-03-01-2018-12-31.csv"",""prevTs"":""2018-03-06 14:18:57.009359"",""ts"":""2018-03-06 01:00:29.349048"",""symbol"":""XBTUSD"",""type"":""Trade""}"
execution,low,time_inversion,"{""file"":""aoa-execution-2018-03-01-2018-12-31.csv"",""prevTs"":""2018-03-06 23:21:02.95893"",""ts"":""2018-03-06 07:16:01.443339"",""symbol"":""XBTUSD"",""type"":""Trade""}"
execution,low,time_inversion,"{""file"":""aoa-execution-2018-03-01-2018-12-31.csv"",""prevTs"":""2018-03-08 08:24:05.307229"",""ts"":""2018-03-08 02:02:50.439644"",""symbol"":""XBTUSD"",""type"":""Trade""}"
execution,low,time_inversion,"{""file"":""aoa-execution-2018-03-01-2018-12-31.csv"",""prevTs"":""2018-03-08 04:32:46.530854"",""ts"":""2018-03-08 03:12:43.040266"",""symbol"":""XBTUSD"",""type"":""Trade""}"
execution,low,time_inversion,"{""file"":""aoa-execution-2018-03-01-2018-12-31.csv"",""prevTs"":""2018-03-09 13:39:33.281076"",""ts"":""2018-03-09 05:49:16.663947"",""symbol"":""XBTUSD"",""type"":""Trade""}"
execution,low,time_inversion,"{""file"":""aoa-execution-2018-03-01-2018-12-31.csv"",""prevTs"":""2018-03-09 23:34:51.963421"",""ts"":""2018-03-09 08:02:38.925286"",""symbol"":""XBTUSD"",""type"":""Trade""}"
execution,low,time_inversion,"{""file"":""aoa-execution-2018-03-01-2018-12-31.csv"",""prevTs"":""2018-03-09 22:49:12.638352"",""ts"":""2018-03-09 16:26:58.662496"",""symbol"":""XBTUSD"",""type"":""Trade""}"
execution,low,time_inversion,"{""file"":""aoa-execution-2018-03-01-2018-12-31.csv"",""prevTs"":""2018-03-09 16:26:58.662496"",""ts"":""2018-03-09 06:04:58.283157"",""symbol"":""XBTUSD"",""type"":""Trade""}"
execution,low,time_inversion,"{""file"":""aoa-execution-2018-03-01-2018-12-31.csv"",""prevTs"":""2018-03-09 09:34:07.673188"",""ts"":""2018-03-09 06:59:11.975194"",""symbol"":""XBTUSD"",""type"":""Trade""}"
execution,low,time_inversion,"{""file"":""aoa-execution-2018-03-01-2018-12-31.csv"",""prevTs"":""2018-03-09 11:58:36.572523"",""ts"":""2018-03-09 07:08:43.313202"",""symbol"":""XBTUSD"",""type"":""Trade""}"
execution,low,time_inversion,"{""file"":""aoa-execution-2018-03-01-2018-12-31.csv"",""prevTs"":""2018-03-09 14:02:28.995228"",""ts"":""2018-03-09 05:15:24.341111"",""symbol"":""XBTUSD"",""type"":""Trade""}"
execution,low,time_inversion,"{""file"":""aoa-execution-2018-03-01-2018-12-31.csv"",""prevTs"":""2018-03-09 23:48:19.357954"",""ts"":""2018-03-09 12:41:44.370519"",""symbol"":""XBTUSD"",""type"":""Trade""}"
