date,fills,orders,notional_xbt,notional_usd,realised_xbt,funding_xbt
2018-03-05,21,6,14.6024,168000,-0.01910004,-0.00608514
2018-03-06,60,24,31.5001,358000,-0.06358364,0.00052189
2018-03-07,7,3,3.7374,40000,-0.01547227,0.00079993
2018-03-08,85,46,49.4064,480000,0.04735248,0.00077143
2018-03-09,149,96,62.8589,554000,0.03630907,0.00010518
2018-03-10,156,71,54.9291,510000,-0.06403106,0.00593189
2018-03-11,80,45,29.7239,268200,-0.03507086,0
2018-03-12,138,59,41.069,395000,0.04152832,-0.00049884
2018-03-13,566,170,343.3773,3135000,-0.21090265,-0.01342651
2018-03-14,33,18,57.0121,510000,-0.31394156,-0.00592068
2018-03-15,134,46,167.1931,1350000,0.32075933,0
2018-03-16,459,101,497.508,4071522,0.49775425,0
2018-03-17,124,25,185.5109,1524262,0.22969383,-0.00154359
2018-03-19,145,33,241.9922,2040000,0.08837371,0.00541168
2018-03-20,264,50,377.0628,3182838,1.16909836,0
2018-03-21,656,121,918.7169,8207644,-2.4412525,-0.0092035
2018-03-22,703,89,1023.5845,9075288,0.48534757,0.00784807
2018-03-29,251,69,391.0068,2940000,-0.04377354,0.00334625
2018-03-30,998,197,1275.0678,8873406,0.69164967,-0.027557
2018-03-31,781,128,995.5662,6910296,0.35301483,0.01319451
2018-04-01,1697,169,2170.0817,14683314,-0.6370417,-0.02124379
2018-04-02,1737,167,2373.598,16398410,-0.51328951,0.03517994
2018-04-03,640,94,872.1978,6269710,-0.66220734,0.00119433
2018-04-04,388,66,490.6286,3550200,0.03698744,0.01003803
2018-04-05,400,83,525.0759,3567308,0.12407124,0
2018-04-06,132,27,155.1323,1040200,0.28374013,0.00385879
2018-04-07,92,25,147.5155,995260,-0.03974904,0.00408795
2018-04-08,9,2,5.6912,40000,0.00054105,0.00038512
2018-04-09,105,30,109.6502,760000,0.27955181,0.00000807
2018-04-10,48,12,50.5382,336400,0.1489699,-0.00196629
2018-04-11,7,1,4.3242,30000,0,0
2018-04-12,35,15,48.909,373622,0.00632753,-0.00094491
2018-04-13,525,111,645.5888,5061556,0.04830097,0.0073609
2018-04-14,633,127,945.0362,7522648,0.56330627,-0.00284251
2018-04-15,1309,75,1372.115,11053554,-0.7460173,0.0006231
2018-04-16,1411,120,2270.1029,18541238,0.45716144,-0.0049468
2018-04-17,76,12,49.327,400046.65,1.02594189,0
2018-04-18,373,23,491.4648,3921588,0.86710942,0
2018-04-19,1053,50,1449.6176,11853968,-1.20570108,0
2018-04-20,308,30,570.6612,4762796,0.37481502,0.00774165
2018-04-21,463,73,1050.4652,9275330,0.37951682,0.0011854
2018-04-22,125,7,134.7183,1200000,0.07038462,0
2018-04-23,92,17,135.7078,1200019.16,0.16402756,0
2018-04-24,347,48,598.6577,5525179.94,0.90605724,0
2018-04-25,586,85,1472.7844,13592013.72,0.02089855,0.00296184
2018-04-26,208,30,390.7598,3433824,1.70204947,0
2018-04-27,38,6,89.7505,829788,0.01718121,0
2018-04-28,344,30,521.3505,4799455.94,0.54595876,0
2018-04-29,113,24,42.8479,400051.86,0.32282445,0
2018-04-30,81,81,0.0687,640,0.00496625,0
2018-05-01,4,2,45.13,400000,0,0
2018-05-02,92,8,175.7667,1600000,0.03889155,0
2018-05-04,388,55,834.1832,8026041.71,-0.05442717,0
2018-05-06,40,15,136.2763,1293746,0.02585069,0.06662654
2018-05-07,216,32,259.3517,2420044.69,0.48768999,0
2018-05-09,181,38,0,148.04,0.4350829,0
2018-05-11,184,35,140.2027,1200068.89,0.4499533,0
2018-05-12,559,78,1721.1631,14395882,2.1406721,0
2018-05-13,111,10,234.3102,2000000,0.09434026,0
2018-05-14,35,6,101.3493,861696,0.09101193,0
2018-05-15,36,4,45.187,400332,0.0445186,0
2018-05-16,240,33,750.6146,6161952,0.87982015,0.0024486
2018-05-17,20,4,90.772,759010,0.1331444,0
2018-05-18,11,8,0,11.82,0,0
2018-05-19,47,8,70.5971,585407.4,0.07105035,0
2018-05-20,45,5,81.1076,676884,0.10117951,0
2018-05-21,154,11,235.5931,2000000,-0.01761548,0
2018-05-22,169,19,302.6177,2487439.87,0.08576357,0
2018-05-23,407,30,944.2183,7490994,-0.67982827,0.0024428
2018-05-24,918,90,2704.9651,20435180,-4.77220696,0
2018-05-25,390,27,782.094,5871823,0.45044602,-0.01970996
2018-05-26,113,14,281.4993,2113239,1.39148098,0.00150348
2018-05-27,2,2,41.6074,313238,-0.18900711,1e-8
2018-05-28,299,8,330.7341,2400000,-0.11788962,0
2018-05-29,181,22,593.0271,4380436,0.06082273,0
2018-05-30,105,14,388.4144,2900000,0.51943196,0
2018-05-31,165,14,348.5357,2589383,0.4281905,0.00696456
2018-06-01,105,16,211.4215,1575896,0.4647334,-0.00102131
2018-06-03,89,14,245.6739,1887890,-0.00576007,-0.00474535
2018-06-04,285,22,432.888,3301126.37,0.3549609,0.00000498
2018-06-05,196,26,591.1993,4402828,0.47414512,0.00674381
2018-06-06,236,20,576.0463,4357344,0.07865738,-0.0057645
2018-06-07,243,21,490.4724,3716382,0.20136839,-5e-8
2018-06-10,113,12,239.7468,1733062,0.24721342,-1.5e-7
2018-06-11,170,32,337.49,2275834.19,0.4984414,-3.4e-7
2018-06-12,67,6,109.5196,751502,-0.02267319,-0.00597817
2018-06-13,195,13,297.0263,1948498,0.26878917,-0.01220217
2018-06-14,452,53,1264.543,8035144,0.31233244,0.00811677
2018-06-15,289,26,467.2438,3096794,0.63469436,-3e-7
2018-06-16,182,25,523.5321,3367654,0.85348917,-2.3e-7
2018-06-17,123,15,299.3982,1917822,0.5263997,-3.5e-7
2018-06-18,91,23,132.8421,859014.87,0.07339679,-2e-7
2018-06-19,247,21,438.7608,2964854,0.22027903,-6e-8
2018-06-20,345,30,680.2344,4525944,0.28249089,1.3e-7
2018-06-21,113,7,206.5889,1400000,0.40081915,2.1e-7
2018-06-22,142,19,337.9963,2179525.28,0.29964149,3e-8
2018-06-23,303,40,910.2925,5561377.67,1.15825039,-6.1e-7
