day,balance_xbt,net_external_flow_xbt,daily_return
2018-03-05,0.15334629,0.17244633,
2018-03-06,0.08976265,0.00000000,-0.41464088
2018-03-07,0.07429038,0.00000000,-0.17236869
2018-03-08,0.12164286,0.00000000,0.63739720
2018-03-09,0.15795193,0.00000000,0.29848912
2018-03-10,0.09392087,0.00000000,-0.40538321
2018-03-11,0.05885001,0.00000000,-0.37340859
2018-03-12,0.14987833,0.04950000,0.70566377
2018-03-13,0.34897568,0.41000000,-1.40715906
2018-03-14,0.45321020,0.41817608,-0.89960871
2018-03-15,0.77396953,0.00000000,0.70774958
2018-03-16,1.27172378,0.00000000,0.64311866
2018-03-17,1.50141761,0.00000000,0.18061613
2018-03-19,1.58979132,0.00000000,0.05886018
2018-03-20,3.92392206,1.16503238,0.73537850
2018-03-21,1.48266956,0.00000000,-0.62214602
2018-03-22,0.00000000,-1.96801713,0.32734709
2018-03-29,0.95622646,1.00000000,
2018-03-30,2.21035794,0.56248181,0.72331158
2018-03-31,2.36217277,-0.20120000,0.15970935
2018-04-01,1.72513107,0.00000000,-0.26968463
2018-04-02,1.21184156,0.00000000,-0.29753653
2018-04-03,0.84913422,0.29950000,-0.54644713
2018-04-04,0.88612166,0.00000000,0.04355900
2018-04-05,1.01019290,0.00000000,0.14001603
2018-04-06,1.29393303,0.00000000,0.28087718
2018-04-07,1.25418399,0.00000000,-0.03071955
2018-04-08,1.25472504,0.00000000,0.00043140
2018-04-09,1.53427685,0.00000000,0.22279926
2018-04-10,1.68324675,0.00000000,0.09709454
2018-04-12,1.68957428,0.00000000,0.00375912
2018-04-13,1.73787525,0.00000000,0.02858766
2018-04-14,2.30118152,0.00000000,0.32413504
2018-04-15,1.55516422,0.00000000,-0.32418881
2018-04-16,2.44633230,0.43400664,0.29396345
2018-04-17,3.47227419,0.00000000,0.41937961
2018-04-18,3.33818361,-1.00120000,0.24972378
2018-04-19,2.13248253,0.00000000,-0.36118477
2018-04-20,2.50729755,0.00000000,0.17576464
2018-04-21,2.88681437,0.00000000,0.15136489
2018-04-22,2.95719899,0.00000000,0.02438142
2018-04-23,3.12122655,0.00000000,0.05546720
2018-04-24,3.02608379,-1.00120000,0.29028884
2018-04-25,2.54538234,-0.50160000,0.00690614
2018-04-26,4.24743181,0.00000000,0.66868126
2018-04-27,3.80937178,-1.00120000,0.13258364
2018-04-28,4.81057178,0.00000000,0.26282549
2018-04-29,4.13219623,0.00000000,-0.14101765
2018-04-30,4.13716248,0.00000000,0.00120184
2018-05-02,4.17605403,0.00000000,0.00940054
2018-05-04,4.12162686,0.00000000,-0.01303316
2018-05-06,4.14747755,0.00000000,0.00627196
2018-05-07,4.63516754,0.00000000,0.11758713
2018-05-09,5.07025044,0.00000000,0.09386563
2018-05-11,5.52020374,0.00000000,0.08874380
2018-05-12,5.65967584,-2.00120000,0.38778860
2018-05-13,5.75401610,0.00000000,0.01666885
2018-05-14,5.84502803,0.00000000,0.01581711
2018-05-15,5.88954663,0.00000000,0.00761649
2018-05-16,6.76936678,0.00000000,0.14938674
2018-05-17,6.90251118,0.00000000,0.01966866
2018-05-19,6.97356153,0.00000000,0.01029341
2018-05-20,7.07474104,0.00000000,0.01450902
2018-05-21,7.05712556,0.00000000,-0.00248991
2018-05-22,7.14288913,0.00000000,0.01215276
2018-05-23,6.46306086,0.00000000,-0.09517553
2018-05-24,5.15040491,3.45955101,-0.73838187
2018-05-25,5.60085093,0.00000000,0.08745837
2018-05-26,6.99233191,0.00000000,0.24844100
2018-05-27,6.80332480,0.00000000,-0.02703063
2018-05-28,6.68543518,0.00000000,-0.01732824
2018-05-29,6.74625791,0.00000000,0.00909780
2018-05-30,7.26568987,0.00000000,0.07699557
2018-05-31,7.69388037,0.00000000,0.05893322
2018-06-01,8.15861377,0.00000000,0.06040299
2018-06-02,8.15861380,0.00000000,0.00000000
