month,fills,orders,notional_usd,realised_xbt,funding_xbt,net_pnl_xbt,deposits_xbt,withdrawals_xbt,end_balance_xbt
2018-03,6006,1407,55713456,0.7537533,-0.02630443,0.7537533,3.9788366,-2.37041713,2.36217277
2018-04,13179,1622,150298121.27,4.54668307,0.04268082,4.54668307,0.73350664,-3.5052,4.13716248
2018-05,5146,593,94078733.43,2.09836688,0.06027604,2.09836688,3.45955101,-2.0012,7.69388037
2018-06,6854,761,100278242.84,5.75734346,0.0529344,5.75734346,0,0,13.45122383
2018-07,10105,1210,178476713.66,15.32807846,0.37909279,15.32807846,0,-4.0012,24.77810229
2018-08,14962,1192,213186483.94,7.92584599,-0.08998419,7.92584599,0,-3.0016,29.70234828
2018-09,17263,1371,141553330.33,-18.83721327,0.17160537,-18.83721327,1.64312202,-7.012,5.49625703
2018-10,4586,242,32369668.07,8.19618724,0.02819603,8.19618724,4.53085849,0,18.22330276
2018-11,34866,1922,249312006.82,82.63703558,2.03927635,82.63703558,0.14338238,-21.0252,79.97852072
2018-12,50175,1541,396500346.9,80.01964161,2.39303482,80.01964161,0,-40.036,119.96216233
2019-01,7223,205,60888457.79,67.56562976,1.55478192,67.56562976,0,-20.024,167.50379209
2019-02,9597,231,85154817.66,19.39137567,0.20086246,19.39137567,0,-20.012,166.88316776
2019-03,6046,148,59046194.27,33.26369727,2.16503283,33.26369727,0,-8.0012,192.14566503
2019-04,29339,823,448036575.7,31.85668054,2.7074742,31.85668054,0,-50.036,173.96634557
2019-05,47510,1075,816882808.96,60.11394945,1.23009557,60.11394945,0,-60.036,174.04429502
2019-06,13300,275,289179074,36.07352997,-2.07558069,36.07352997,0,-40.024,170.09382499
2019-07,19316,277,347022673.3,47.53738194,-0.79107369,47.53738194,0,-40.027,177.60420693
2019-08,20769,237,308229750,39.02770303,1.05923152,39.02770303,0,0,216.63190996
2019-09,12085,132,184470894.6,26.95072443,-0.22617,26.95072443,0,-20.012,223.57063439
2019-10,7838,90,129758276,-8.82202127,0.5329628,-8.82202127,0,0,214.74861312
2019-11,14382,161,210244632,94.10807098,-0.31858923,94.10807098,0,0,308.8566841
2019-12,24294,204,281024579,69.30616248,0.26590934,69.30616248,0,-1.0122,377.15064658
2020-01,24589,346,388725675.3,152.79130125,-0.20389191,152.79130125,0,-100.036,429.90594783
2020-02,30864,388,496340317.12,37.70319038,-6.62276048,37.70319038,0,-50.012,417.59713821
2020-03,35132,735,549821608,299.34071637,20.83185524,299.34071637,0,-100.024,616.91385458
2020-04,39562,215,297202937,-50.78915233,7.44596758,-50.78915233,0,0,566.12470225
2020-05,19818,182,280509436,71.843762,-0.27825814,71.843762,0,-100.027,537.94146425
2020-06,14226,128,215373875,47.03140181,-1.19531683,47.03140181,0,0,584.97286606
2020-07,13689,119,283848767.74,14.45065225,-2.71077915,14.45065225,0,0,599.42351831
2020-08,32740,269,663786394,154.134674,1.13112394,154.134674,0,-172.026,581.53219231
2020-09,28166,289,664025025,101.45987169,-2.40930613,101.45987169,0,0,682.992064
2020-10,19144,207,579301126.07,-30.50979282,2.08161929,-30.50979282,0,-50.012,602.47027118
2020-11,36287,514,1441146253.49,34.5970145,-0.69834519,34.5970145,0,0,637.06728568
2020-12,21465,369,871645859.32,-68.41099361,-7.21237919,-68.41099361,0,-50.012,518.64429207
2021-01,30848,412,1736789537.68,315.56650948,-11.31779179,315.56650948,0,-100.012,734.19880155
2021-02,35491,573,1636033854.11,-29.92691408,-22.42425813,-29.92691408,0,0,704.27188747
2021-03,17928,143,731411423.27,42.56828809,-15.66551118,42.56828809,0,-50.012,696.82817556
2021-04,35343,267,1061906448.66,116.14089998,-11.76242405,116.14089998,0,-100.012,712.95707554
2021-05,146466,793,2508216151.07,82.68913158,-16.24266442,82.68913158,0,0,795.64620712
2021-06,190450,739,2769545060.15,644.24728331,7.11827561,644.24728331,0,-300.021,1139.87
2021-07,39839,175,983787066.49,147.66864181,-5.57278244,147.66864181,0,-300.05,987.49113224
2021-08,91375,406,2213499744.08,625.81948368,-18.22084273,625.81948368,0,-400.05,1213.26
2021-09,87674,307,1957751133.61,691.76978566,19.97214731,691.76978566,0,-600.1,1304.93
2021-10,19389,61,393684554.05,-215.77121649,-67.22126695,-215.77121649,0,0,1089.16
2021-11,50623,58,421275182.23,-196.70196146,-29.22313007,-196.70196146,0,0,892.45722363
2021-12,3258,11,100776800,-155.18748958,-0.53046615,-155.18748958,0,0,737.26973405
