symbol,closes,pnl_xbt,share_of_pnl,win_rate,best_xbt,worst_xbt
XBTUSD,1377,2007.0846,0.5674,0.6296,141.7365,-146.1262
ETHUSD,312,830.3645,0.2347,0.6731,107.8406,-147.7397
XBTU21,11,246.3337,0.0696,0.7273,125.6941,-26.9473
XRPUSD,109,173.8614,0.0492,0.8991,45.0907,-8.1003
ETHUSDM21,5,140.9343,0.0398,0.8,139.9202,-0.0188
XBTH20,14,119.2016,0.0337,0.7857,133.8014,-23.7354
DOGEUSDT,19,52.607,0.0149,0.8947,17.4086,-0.0022
BNBUSDT,9,19.1529,0.0054,1,11.9295,0.0197
LTCUSD,35,16.8653,0.0048,0.9429,15.715,-30.5784
DOTUSDT,23,16.4092,0.0046,0.8261,9.4195,-5.5258
XBTZ18,4,12.3231,0.0035,0.75,6.2305,0
XBTH19,4,8.1673,0.0023,0.25,15.3689,-7.185
EOSH21,3,6.8589,0.0019,0.6667,5.1671,-0.0204
TRXU18,18,3.8845,0.0011,0.9444,0.7138,0
XBTU18,3,3.832,0.0011,0.6667,3.8879,-0.0596
XRPH21,2,3.7393,0.0011,0.5,5.6388,-1.8995
BCHZ18,15,2.3688,0.0007,0.7333,2.4176,-3.9713
EOSU18,38,1.929,0.0005,0.6842,1.1781,-1.2359
EOSM18,7,1.1928,0.0003,0.7143,1.195,-0.978
EOSZ18,4,1.0345,0.0003,0.75,1.2472,-0.6915
TRXZ18,3,0.5906,0.0002,1,0.3514,0.0511
XRPM19,1,0.4216,0.0001,1,0.4216,0.4216
XRPZ18,12,0.4204,0.0001,0.6667,1.1353,-1.468
XRPM18,3,0.3191,0.0001,1,0.1576,0.0056
BCHM18,3,0.175,0,1,0.0742,0.0383
BCHU18,2,0.1619,0,1,0.1554,0.0065
XRPH19,2,0.1564,0,1,0.1452,0.0111
LTCU18,1,0.124,0,1,0.124,0.124
YFIUSDTZ20,1,0.1069,0,1,0.1069,0.1069
ADAUSDT,2,0.0221,0,0.5,0.0319,-0.0098
ETHM18,1,-0.0029,0,0,-0.0029,-0.0029
XBT7D_U110,1,-0.0091,0,0,-0.0091,-0.0091
ADAM19,1,-0.0647,0,0,-0.0647,-0.0647
LTCH19,2,-0.0758,0,0.5,0.743,-0.8187
ADAZ18,2,-0.0975,0,0.5,0.0882,-0.1857
ADAM18,15,-0.1924,-0.0001,0.8667,0.45,-1.9183
XBTM18,11,-0.4167,-0.0001,0.6364,0.0601,-0.274
TRXH19,1,-0.555,-0.0002,0,-0.555,-0.555
BCHM19,1,-1.2877,-0.0004,0,-1.2877,-1.2877
ADAU18,27,-1.4863,-0.0004,0.6667,0.169,-0.7484
ETHU18,11,-2.5915,-0.0007,0.3636,0.0788,-1.1137
TRXU19,2,-6.2596,-0.0018,0.5,0.0341,-6.2937
XBTM19,3,-14.7575,-0.0042,0.6667,0.0414,-14.7995
XRPU18,14,-17.7415,-0.005,0.7143,1.0575,-15.2576
LINKUSDT,18,-17.8463,-0.005,0.7778,2.7638,-15.9562
BCHUSD,20,-69.935,-0.0198,0.6,6.964,-63.1428
