symbol,currency,fills,buys,sells,notional_usd,maker_fills,taker_fills,commission_xbt
XBTUSD,USD,941007,458263,482744,23574456258,504390,436617,85.15015014
ETHUSD,USD,327428,167317,160111,3938842492.06,301437,25991,-8.94099452
XRPUSD,USD,55495,30139,25356,176111869.01,53592,1903,-0.57677649
XBTU21,USD,25747,16124,9623,147283600,24318,1429,-0.3979223
LTCUSD,USD,17201,7033,10168,49669317.28,16489,712,-0.10576111
XBTH20,USD,5922,2293,3629,39131325,5652,270,-0.02404514
BCHUSD,USD,9217,4036,5181,35080265.51,8943,274,-0.10474123
LINKUSDT,USDT,6381,3308,3073,29790133.59,6166,215,-0.07811522
DOTUSDT,USDT,11351,4999,6352,28196196.85,11275,76,-0.11342602
DOGEUSDT,USDT,11183,5528,5655,25237246.92,10744,439,-0.04409055
ETHUSDM21,USD,5356,248,5108,16579593.56,5221,135,-0.0217466
BNBUSDT,USDT,4785,3118,1667,8029998.96,4768,17,-0.04540563
ADAUSDT,USDT,485,216,269,2626346.36,463,22,-0.01279504
XBTZ18,USD,179,76,103,2202679,147,32,-0.04135877
XBTH19,USD,531,220,311,1810661,297,234,-0.02150469
XBTM19,USD,169,1,168,1805600,169,0,-0.04158456
XBTM18,USD,212,124,88,841388,54,158,0.06088248
XBTU18,USD,36,16,20,240000,11,25,-0.00266325
YFIUSDTZ20,USDT,11,2,9,164460.18,8,3,0.00508395
BCHZ18,XBT,2467,1226,1241,3317.45,1583,884,1.52075207
XRPZ18,XBT,2849,1578,1271,1973.22,1539,1310,1.0507483
XRPU18,XBT,2000,1122,878,1689.56,1316,684,0.96931959
EOSU18,XBT,1085,414,671,805.88,848,237,-0.13798244
TRXU18,XBT,776,301,475,397.43,739,37,-0.14650116
ADAM18,XBT,526,133,393,325.8,484,42,-0.07794512
ADAU18,XBT,654,297,357,254.49,560,94,-0.08289754
EOSZ18,XBT,384,144,240,234.64,223,161,0.07803386
XRPH21,XBT,1809,410,1399,222.31,1726,83,0.15517366
EOSM18,XBT,276,164,112,188.24,246,30,0.00990959
LTCH19,XBT,109,75,34,169.64,46,63,0.00116663
ETHU18,XBT,158,36,122,133.23,122,36,0.01065451
TRXU19,XBT,497,302,195,130.3,371,126,0.05684684
BCHM19,XBT,46,28,18,124.65,46,0,-0.062325
XRPM18,XBT,138,25,113,123.05,128,10,-0.02327427
ADAZ18,XBT,253,143,110,107.12,184,69,0.02394801
BCHM18,XBT,70,31,39,84.92,64,6,0.00471803
XRPH19,XBT,72,20,52,81.73,58,14,-0.0316122
TRXZ18,XBT,147,57,90,71.58,115,32,0.02875294
EOSH21,XBT,2020,5,2015,61.3,1923,97,0.02015273
XRPM19,XBT,59,1,58,39.16,59,0,-0.01958077
BCHU18,XBT,33,6,27,28.98,27,6,-0.00534102
TRXH19,XBT,38,9,29,25.25,32,6,0.00300882
LTCU18,XBT,12,9,3,22.81,12,0,-0.01026579
ADAM19,XBT,17,1,16,18.49,1,16,0.01842427
ETHM18,XBT,5,2,3,3.4,2,3,0.00305972
XBT7D_U110,XBT,11,7,4,0.09,9,2,0
