day,cum_realised_xbt,cum_withdrawn_xbt,cum_deposited_xbt,balance_xbt
2018-03-22,-0.2471,1.9680,2.2152,0.0000
2018-03-30,0.4007,2.1692,3.9788,2.2104
2018-03-31,0.7538,2.3704,3.9788,2.3622
2018-04-01,0.5106,2.3704,3.9788,1.7251
2018-04-01,0.1167,2.3704,3.9788,1.7251
2018-04-18,1.9975,3.3716,4.7123,3.3382
2018-04-24,2.6866,4.3728,4.7123,3.0261
2018-04-25,2.7075,4.8744,4.7123,2.5454
2018-04-27,4.4267,5.8756,4.7123,3.8094
2018-05-12,8.8241,7.8768,4.7123,5.6597
2018-06-01,7.8635,7.8768,8.1719,8.1586
2018-07-01,13.3411,7.8768,8.1719,13.6362
2018-07-28,26.5892,11.8780,8.1719,22.8831
2018-08-01,27.8202,11.8780,8.1719,18.0825
2018-08-01,26.7030,11.8780,8.1719,18.0825
2018-08-01,26.6538,11.8780,8.1719,18.0825
2018-08-01,26.7285,11.8780,8.1719,18.0825
2018-08-01,21.6210,11.8780,8.1719,18.0825
2018-08-01,21.7886,11.8780,8.1719,18.0825
2018-08-10,31.2022,14.3792,8.1719,24.9949
2018-08-13,33.4361,14.8796,8.1719,26.7283
2018-09-01,36.3726,14.8796,8.1719,29.6649
2018-09-05,43.9355,21.8916,8.1719,30.2158
2018-10-01,17.5729,21.8916,9.8150,5.4963
2018-11-01,25.7690,21.8916,14.3459,18.2233
2018-11-01,25.7690,21.8916,14.3459,18.2233
2018-11-25,78.1676,22.8928,14.4893,69.7641
2018-11-28,94.1275,32.9048,14.4893,75.7120
2018-11-29,97.3246,42.9168,14.4893,68.8970
2018-12-01,108.4061,42.9168,14.4893,80.8656
2018-12-01,109.2931,42.9168,14.4893,80.8656
2018-12-07,136.5489,52.9288,14.4893,98.1094
2018-12-23,157.8550,62.9408,14.4893,109.4034
2018-12-29,187.1918,82.9528,14.4893,118.7283
2019-01-01,191.8930,82.9528,14.4893,123.4294
2019-01-11,190.4899,92.9648,14.4893,112.0144
2019-01-15,225.6828,102.9768,14.4893,137.1953
2019-02-01,256.7099,102.9768,14.4893,168.2224
2019-02-09,261.2060,122.9888,14.4893,152.7065
2019-03-01,276.2904,122.9888,14.4893,169.3032
2019-03-01,277.7916,122.9888,14.4893,169.3032
2019-03-01,277.8027,122.9888,14.4893,169.3032
2019-03-08,290.2185,130.9900,14.4893,173.7177
2019-04-01,308.1593,130.9900,14.4893,191.6585
2019-04-10,286.8271,151.0020,14.4893,150.3144
2019-04-18,303.0321,161.0140,14.4893,156.5073
2019-04-23,325.1924,181.0260,14.4893,158.6556
2019-05-01,332.4490,181.0260,14.4893,165.9123
2019-05-06,357.6048,201.0380,14.4893,171.0560
2019-05-12,364.8608,221.0500,14.4893,158.3001
2019-05-27,402.8813,241.0620,14.4893,176.3086
2019-06-01,398.0785,241.0620,14.4893,171.5058
2019-06-16,414.7983,261.0740,14.4893,168.2135
2019-06-26,424.9144,281.0860,14.4893,158.3177
2019-07-01,437.0765,281.0860,14.4893,170.4797
2019-07-18,488.1970,301.0980,14.4893,201.5883
2019-07-19,483.8427,321.1130,14.4893,177.2190
2019-08-01,474.4409,321.1130,14.4893,167.8171
2019-09-01,518.8460,321.1130,14.4893,212.2222
2019-09-06,527.2376,341.1250,14.4893,200.6018
2019-10-01,545.5504,341.1250,14.4893,218.9147
2019-11-01,541.3844,341.1250,14.4893,214.7486
2019-12-01,649.1084,341.1250,14.4893,322.4726
2019-12-10,655.8719,341.1360,14.4893,329.2252
2019-12-11,688.2282,342.1372,14.4893,360.5802
2020-01-01,705.7867,342.1372,14.4893,378.1388
2020-01-08,727.3183,362.1492,14.4893,379.6583
2020-01-11,778.3571,392.1612,14.4893,400.6851
2020-01-17,783.5279,442.1732,14.4893,355.8439
2020-02-01,861.0391,442.1732,14.4893,433.3551
2020-02-15,879.9057,492.1852,14.4893,402.2097
2020-03-01,898.9782,492.1852,14.4893,421.2822
2020-03-13,1160.2951,542.1972,14.4893,632.5872
2020-03-24,1104.1557,592.2092,14.4893,526.4357
2020-04-01,1200.9853,592.2092,14.4893,623.2654
2020-05-01,1167.4588,592.2092,14.4893,589.7388
2020-05-02,1167.4919,642.2212,14.4893,539.7600
2020-05-11,1226.2336,692.2362,14.4893,548.4866
2020-06-01,1215.6884,692.2362,14.4893,537.9415
2020-07-01,1262.3845,692.2362,14.4893,584.6376
2020-08-01,1305.3858,692.2362,14.4893,627.6388
2020-08-02,1344.3134,764.2482,14.4893,594.5544
2020-08-19,1420.7813,814.2602,14.4893,621.0104
2020-08-24,1440.6922,864.2622,14.4893,590.9192
2020-09-01,1430.6536,864.2622,14.4893,580.8806
2020-10-01,1532.8266,864.2622,14.4893,683.0537
2020-10-02,1543.7367,914.2742,14.4893,643.9518
2020-11-01,1502.4559,914.2742,14.4893,602.6709
2020-12-01,1475.2602,914.2742,14.4893,575.4752
2020-12-20,1522.9642,964.2862,14.4893,573.1672
2021-01-01,1468.8668,964.2862,14.4893,519.1740
2021-01-01,1468.9710,964.2862,14.4893,519.1740
2021-01-29,1802.2795,1064.2982,14.4893,752.4706
2021-02-01,1797.2036,1064.2982,14.4893,755.6452
2021-02-01,1805.4542,1064.2982,14.4893,755.6452
2021-03-01,1753.2437,1064.2982,14.4893,703.3686
2021-03-01,1753.1776,1064.2982,14.4893,703.3686
2021-03-08,1802.8007,1114.3102,14.4893,702.9797
2021-04-01,1798.6812,1114.3102,14.4893,698.8602
2021-04-05,1790.2825,1214.3222,14.4893,590.4495
2021-05-01,1913.1624,1214.3222,14.4893,714.4653
2021-05-01,1913.4224,1214.3222,14.4893,714.4653
2021-05-01,1913.8398,1214.3222,14.4893,714.4653
2021-05-01,1914.0870,1214.3222,14.4893,714.4653
2021-05-01,1914.0744,1214.3222,14.4893,714.4653
2021-05-01,1914.2982,1214.3222,14.4893,714.4653
2021-06-01,2020.1296,1214.3222,14.4893,861.1948
2021-06-01,2061.0277,1214.3222,14.4893,861.1948
2021-06-20,2674.9882,1514.3432,14.4893,1175.1300
2021-07-01,2588.0119,1514.3432,14.4893,1113.1800
2021-07-01,2588.0420,1514.3432,14.4893,1113.1800
2021-07-01,2613.0352,1514.3432,14.4893,1113.1800
2021-07-27,2764.3192,1814.3932,14.4893,964.4152
2021-08-01,2787.7566,1814.3932,14.4893,988.1391
2021-08-01,2788.0431,1814.3932,14.4893,988.1391
2021-08-19,3270.1787,2214.4432,14.4893,1070.2200
2021-09-01,3412.9616,2214.4432,14.4893,1213.0100
2021-09-03,3429.5098,2514.4932,14.4893,929.5058
2021-09-23,3895.0748,2814.5432,14.4893,1095.0200
2021-10-01,4106.4589,2814.5432,14.4893,1306.5900
2021-10-01,4106.4983,2814.5432,14.4893,1306.5900
2021-10-01,4106.6477,2814.5432,14.4893,1306.5900
2021-11-01,3890.8709,2814.5432,14.4893,1091.1000
2021-11-01,3890.9205,2814.5432,14.4893,1091.1000
2021-11-01,3891.1555,2814.5432,14.4893,1091.1000
2021-12-01,3691.6734,2814.5432,14.4893,891.6194
