date,ledger_day,transactions,deposits_xbt,withdrawals_xbt,realised_xbt,balance_xbt,cumulative_withdrawn_xbt,cumulative_realised_xbt,cumulative_deposited_xbt
2018-03-05,1,2,0.17244633,0,-0.01910004,0.15334629,0,-0.01910004,0.17244633
2018-03-06,1,1,0,0,-0.06358364,0.08976265,0,-0.08268368,0.17244633
2018-03-07,1,1,0,0,-0.01547227,0.07429038,0,-0.09815595,0.17244633
2018-03-08,1,1,0,0,0.04735248,0.12164286,0,-0.05080347,0.17244633
2018-03-09,1,1,0,0,0.03630907,0.15795193,0,-0.0144944,0.17244633
2018-03-10,1,1,0,0,-0.06403106,0.09392087,0,-0.07852546,0.17244633
2018-03-11,1,1,0,0,-0.03507086,0.05885001,0,-0.11359632,0.17244633
2018-03-12,1,2,0.0495,0,0.04152832,0.14987833,0,-0.072068,0.22194633
2018-03-13,1,3,0.41,0,-0.21090265,0.34897568,0,-0.28297065,0.63194633
2018-03-14,1,2,0.41817608,0,-0.31394156,0.4532102,0,-0.59691221,1.05012241
2018-03-15,1,1,0,0,0.32075933,0.77396953,0,-0.27615288,1.05012241
2018-03-16,1,1,0,0,0.49775425,1.27172378,0,0.22160137,1.05012241
2018-03-17,1,1,0,0,0.22969383,1.50141761,0,0.4512952,1.05012241
2018-03-18,0,0,0,0,0,1.50141761,0,0.4512952,1.05012241
2018-03-19,1,1,0,0,0.08837371,1.58979132,0,0.53966891,1.05012241
2018-03-20,1,2,1.16503238,0,1.16909836,3.92392206,0,1.70876727,2.21515479
2018-03-21,1,1,0,0,-2.4412525,1.48266956,0,-0.73248523,2.21515479
2018-03-22,1,2,0,1.96801713,0.48534757,0,1.96801713,-0.24713766,2.21515479
2018-03-23,0,0,0,0,0,0,1.96801713,-0.24713766,2.21515479
2018-03-24,0,0,0,0,0,0,1.96801713,-0.24713766,2.21515479
2018-03-25,0,0,0,0,0,0,1.96801713,-0.24713766,2.21515479
2018-03-26,0,0,0,0,0,0,1.96801713,-0.24713766,2.21515479
2018-03-27,0,0,0,0,0,0,1.96801713,-0.24713766,2.21515479
2018-03-28,0,0,0,0,0,0,1.96801713,-0.24713766,2.21515479
2018-03-29,1,2,1,0,-0.04377354,0.95622646,1.96801713,-0.2909112,3.21515479
2018-03-30,1,4,0.76368181,0.2012,0.69164967,2.21035794,2.16921713,0.40073847,3.9788366
2018-03-31,1,4,0,0.2012,0.35301483,2.36217277,2.37041713,0.7537533,3.9788366
2018-04-01,1,2,0,0,-0.6370417,1.72513107,2.37041713,0.1167116,3.9788366
2018-04-02,1,2,0,0,-0.51328951,1.21184156,2.37041713,-0.39657791,3.9788366
2018-04-03,1,3,0.2995,0,-0.66220734,0.84913422,2.37041713,-1.05878525,4.2783366
2018-04-04,1,1,0,0,0.03698744,0.88612166,2.37041713,-1.02179781,4.2783366
2018-04-05,1,2,0,0,0.12407124,1.0101929,2.37041713,-0.89772657,4.2783366
2018-04-06,1,2,0,0,0.28374013,1.29393303,2.37041713,-0.61398644,4.2783366
2018-04-07,1,1,0,0,-0.03974904,1.25418399,2.37041713,-0.65373548,4.2783366
2018-04-08,1,1,0,0,0.00054105,1.25472504,2.37041713,-0.65319443,4.2783366
2018-04-09,1,1,0,0,0.27955181,1.53427685,2.37041713,-0.37364262,4.2783366
2018-04-10,1,2,0,0,0.1489699,1.68324675,2.37041713,-0.22467272,4.2783366
2018-04-11,0,0,0,0,0,1.68324675,2.37041713,-0.22467272,4.2783366
2018-04-12,1,1,0,0,0.00632753,1.68957428,2.37041713,-0.21834519,4.2783366
2018-04-13,1,2,0,0,0.04830097,1.73787525,2.37041713,-0.17004422,4.2783366
2018-04-14,1,1,0,0,0.56330627,2.30118152,2.37041713,0.39326205,4.2783366
2018-04-15,1,1,0,0,-0.7460173,1.55516422,2.37041713,-0.35275525,4.2783366
2018-04-16,1,2,0.43400664,0,0.45716144,2.4463323,2.37041713,0.10440619,4.71234324
2018-04-17,1,2,0,0,1.02594189,3.47227419,2.37041713,1.13034808,4.71234324
2018-04-18,1,2,0,1.0012,0.86710942,3.33818361,3.37161713,1.9974575,4.71234324
2018-04-19,1,1,0,0,-1.20570108,2.13248253,3.37161713,0.79175642,4.71234324
2018-04-20,1,1,0,0,0.37481502,2.50729755,3.37161713,1.16657144,4.71234324
2018-04-21,1,1,0,0,0.37951682,2.88681437,3.37161713,1.54608826,4.71234324
2018-04-22,1,1,0,0,0.07038462,2.95719899,3.37161713,1.61647288,4.71234324
2018-04-23,1,2,0,0,0.16402756,3.12122655,3.37161713,1.78050044,4.71234324
2018-04-24,1,3,0,1.0012,0.90605724,3.02608379,4.37281713,2.68655768,4.71234324
2018-04-25,1,3,0,0.5016,0.02089855,2.54538234,4.87441713,2.70745623,4.71234324
2018-04-26,1,1,0,0,1.70204947,4.24743181,4.87441713,4.4095057,4.71234324
2018-04-27,1,2,0,1.0012,0.01718121,3.80937178,5.87561713,4.42668691,4.71234324
2018-04-28,1,1,0,0,0.54595876,4.81057178,5.87561713,4.97264567,4.71234324
2018-04-29,1,3,0,0,0.32282445,4.13219623,5.87561713,5.29547012,4.71234324
2018-04-30,1,1,0,0,0.00496625,4.13716248,5.87561713,5.30043637,4.71234324
2018-05-01,0,0,0,0,0,4.13716248,5.87561713,5.30043637,4.71234324
2018-05-02,1,1,0,0,0.03889155,4.17605403,5.87561713,5.33932792,4.71234324
2018-05-03,0,0,0,0,0,4.17605403,5.87561713,5.33932792,4.71234324
2018-05-04,1,3,0,0,-0.05442717,4.12162686,5.87561713,5.28490075,4.71234324
2018-05-05,0,0,0,0,0,4.12162686,5.87561713,5.28490075,4.71234324
2018-05-06,1,1,0,0,0.02585069,4.14747755,5.87561713,5.31075144,4.71234324
2018-05-07,1,3,0,0,0.48768999,4.63516754,5.87561713,5.79844143,4.71234324
2018-05-08,0,0,0,0,0,4.63516754,5.87561713,5.79844143,4.71234324
2018-05-09,1,2,0,0,0.4350829,5.07025044,5.87561713,6.23352433,4.71234324
2018-05-10,0,0,0,0,0,5.07025044,5.87561713,6.23352433,4.71234324
2018-05-11,1,1,0,0,0.4499533,5.52020374,5.87561713,6.68347763,4.71234324
2018-05-12,1,2,0,2.0012,2.1406721,5.65967584,7.87681713,8.82414973,4.71234324
2018-05-13,1,1,0,0,0.09434026,5.7540161,7.87681713,8.91848999,4.71234324
2018-05-14,1,1,0,0,0.09101193,5.84502803,7.87681713,9.00950192,4.71234324
2018-05-15,1,1,0,0,0.0445186,5.88954663,7.87681713,9.05402052,4.71234324
2018-05-16,1,1,0,0,0.87982015,6.76936678,7.87681713,9.93384067,4.71234324
2018-05-17,1,1,0,0,0.1331444,6.90251118,7.87681713,10.06698507,4.71234324
2018-05-18,0,0,0,0,0,6.90251118,7.87681713,10.06698507,4.71234324
2018-05-19,1,3,0,0,0.07105035,6.97356153,7.87681713,10.13803542,4.71234324
2018-05-20,1,1,0,0,0.10117951,7.07474104,7.87681713,10.23921493,4.71234324
2018-05-21,1,1,0,0,-0.01761548,7.05712556,7.87681713,10.22159945,4.71234324
2018-05-22,1,1,0,0,0.08576357,7.14288913,7.87681713,10.30736302,4.71234324
2018-05-23,1,2,0,0,-0.67982827,6.46306086,7.87681713,9.62753475,4.71234324
2018-05-24,1,2,3.45955101,0,-4.77220696,5.15040491,7.87681713,4.85532779,8.17189425
2018-05-25,1,1,0,0,0.45044602,5.60085093,7.87681713,5.30577381,8.17189425
2018-05-26,1,2,0,0,1.39148098,6.99233191,7.87681713,6.69725479,8.17189425
2018-05-27,1,1,0,0,-0.18900711,6.8033248,7.87681713,6.50824768,8.17189425
2018-05-28,1,1,0,0,-0.11788962,6.68543518,7.87681713,6.39035806,8.17189425
2018-05-29,1,1,0,0,0.06082273,6.74625791,7.87681713,6.45118079,8.17189425
2018-05-30,1,1,0,0,0.51943196,7.26568987,7.87681713,6.97061275,8.17189425
2018-05-31,1,1,0,0,0.4281905,7.69388037,7.87681713,7.39880325,8.17189425
2018-06-01,1,1,0,0,0.4647334,8.15861377,7.87681713,7.86353665,8.17189425
2018-06-02,1,1,0,0,3e-8,8.1586138,7.87681713,7.86353668,8.17189425
2018-06-03,1,1,0,0,-0.00576007,8.15285373,7.87681713,7.85777661,8.17189425
2018-06-04,1,3,0,0,0.3549609,8.50781463,7.87681713,8.21273751,8.17189425
2018-06-05,1,1,0,0,0.47414512,8.98195975,7.87681713,8.68688263,8.17189425
2018-06-06,1,1,0,0,0.07865738,9.06061713,7.87681713,8.76554001,8.17189425
2018-06-07,1,1,0,0,0.20136839,9.26198552,7.87681713,8.9669084,8.17189425
2018-06-08,1,1,0,0,7e-8,9.26198559,7.87681713,8.96690847,8.17189425
2018-06-09,1,1,0,0,7e-8,9.26198566,7.87681713,8.96690854,8.17189425
2018-06-10,1,1,0,0,0.24721342,9.50919908,7.87681713,9.21412196,8.17189425
2018-06-11,1,2,0,0,0.4984414,10.00764048,7.87681713,9.71256336,8.17189425
2018-06-12,1,1,0,0,-0.02267319,9.98496729,7.87681713,9.68989017,8.17189425
2018-06-13,1,1,0,0,0.26878917,10.25375646,7.87681713,9.95867934,8.17189425
2018-06-14,1,1,0,0,0.31233244,10.5660889,7.87681713,10.27101178,8.17189425
2018-06-15,1,1,0,0,0.63469436,11.20078326,7.87681713,10.90570614,8.17189425
2018-06-16,1,1,0,0,0.85348917,12.05427243,7.87681713,11.75919531,8.17189425
2018-06-17,1,1,0,0,0.5263997,12.58067213,7.87681713,12.28559501,8.17189425
2018-06-18,1,2,0,0,0.07339679,12.65406892,7.87681713,12.3589918,8.17189425
2018-06-19,1,1,0,0,0.22027903,12.87434795,7.87681713,12.57927083,8.17189425
2018-06-20,1,1,0,0,0.28249089,13.15683884,7.87681713,12.86176172,8.17189425
2018-06-21,1,1,0,0,0.40081915,13.55765799,7.87681713,13.26258087,8.17189425
2018-06-22,1,2,0,0,0.29964149,13.85729948,7.87681713,13.56222236,8.17189425
2018-06-23,1,4,0,0,1.15825039,15.01554987,7.87681713,14.72047275,8.17189425
2018-06-24,1,2,0,0,-2.13880254,12.87674733,7.87681713,12.58167021,8.17189425
2018-06-25,1,2,0,0,0.90406762,13.78081495,7.87681713,13.48573783,8.17189425
2018-06-26,1,2,0,0,0.6771576,14.45797255,7.87681713,14.16289543,8.17189425
2018-06-27,1,2,0,0,0.12287194,14.58084449,7.87681713,14.28576737,8.17189425
2018-06-28,1,3,0,0,1.28884415,15.86968864,7.87681713,15.57461152,8.17189425
2018-06-29,1,4,0,0,-3.78853013,12.08115851,7.87681713,11.78608139,8.17189425
2018-06-30,1,2,0,0,1.37006532,13.45122383,7.87681713,13.15614671,8.17189425
2018-07-01,1,1,0,0,0.18494111,13.63616494,7.87681713,13.34108782,8.17189425
2018-07-02,1,1,0,0,0.17005042,13.80621536,7.87681713,13.51113824,8.17189425
2018-07-03,1,2,0,0,1.93461853,15.74083389,7.87681713,15.44575677,8.17189425
2018-07-04,1,2,0,0,1.11810444,16.85893833,7.87681713,16.56386121,8.17189425
2018-07-05,1,1,0,0,0.10110916,16.96004749,7.87681713,16.66497037,8.17189425
2018-07-06,1,2,0,0,0.00599025,16.96603774,7.87681713,16.67096062,8.17189425
2018-07-07,1,2,0,0,0.00294988,16.96898762,7.87681713,16.6739105,8.17189425
2018-07-08,1,1,0,0,0.48093208,17.4499197,7.87681713,17.15484258,8.17189425
2018-07-09,1,1,0,0,0.03814925,17.48806895,7.87681713,17.19299183,8.17189425
2018-07-10,1,2,0,0,-0.77710455,16.7109644,7.87681713,16.41588728,8.17189425
2018-07-11,1,2,0,0,-0.18626149,16.52470291,7.87681713,16.22962579,8.17189425
2018-07-12,1,2,0,0,-0.13600159,16.38870132,7.87681713,16.0936242,8.17189425
2018-07-13,1,2,0,0,0.7332532,17.12195452,7.87681713,16.8268774,8.17189425
2018-07-14,1,3,0,0,0.92494847,18.04690299,7.87681713,17.75182587,8.17189425
2018-07-15,1,2,0,0,0.02934778,18.07625077,7.87681713,17.78117365,8.17189425
2018-07-16,1,2,0,0,0.0886086,18.16485937,7.87681713,17.86978225,8.17189425
2018-07-17,1,3,0,0,0.85131297,19.01617234,7.87681713,18.72109522,8.17189425
2018-07-18,1,3,0,0,-4.78460196,14.23157038,7.87681713,13.93649326,8.17189425
2018-07-19,1,6,0,0,4.1265106,18.35808098,7.87681713,18.06300386,8.17189425
2018-07-20,1,6,0,0,1.77399674,20.13207772,7.87681713,19.8370006,8.17189425
2018-07-21,1,5,0,0,-2.46103513,17.67104259,7.87681713,17.37596547,8.17189425
2018-07-22,1,3,0,0,0.27340749,17.94445008,7.87681713,17.64937296,8.17189425
2018-07-23,1,3,0,0,0.65973027,18.60418035,7.87681713,18.30910323,8.17189425
2018-07-24,1,6,0,0,2.75459545,21.3587758,7.87681713,21.06369868,8.17189425
2018-07-25,1,4,0,0,2.24464377,23.60341957,7.87681713,23.30834245,8.17189425
2018-07-26,1,2,0,0,0.81439139,24.41781096,7.87681713,24.12273384,8.17189425
2018-07-27,1,3,0,0,2.29222686,26.71003782,7.87681713,26.4149607,8.17189425
2018-07-28,1,5,0,4.0012,0.1742489,22.88308672,11.87801713,26.5892096,8.17189425
2018-07-29,1,3,0,0,0.45823124,23.34131796,11.87801713,27.04744084,8.17189425
2018-07-30,1,3,0,0,0.55686038,23.89817834,11.87801713,27.60430122,8.17189425
2018-07-31,1,4,0,0,0.87992395,24.77810229,11.87801713,28.48422517,8.17189425
2018-08-01,1,6,0,0,-6.69560552,18.08249677,11.87801713,21.78861965,8.17189425
2018-08-02,1,3,0,0,2.21830313,20.3007999,11.87801713,24.00692278,8.17189425
2018-08-03,1,4,0,0,-0.607676,19.6931239,11.87801713,23.39924678,8.17189425
2018-08-04,1,5,0,0,0.19698841,19.89011231,11.87801713,23.59623519,8.17189425
2018-08-05,1,4,0,0,-3.42807889,16.46203342,11.87801713,20.1681563,8.17189425
2018-08-06,1,2,0,0,0.4889391,16.95097252,11.87801713,20.6570954,8.17189425
2018-08-07,1,2,0,0,2.65536045,19.60633297,11.87801713,23.31245585,8.17189425
2018-08-08,1,4,0,0,-0.22606319,19.38026978,11.87801713,23.08639266,8.17189425
2018-08-09,1,4,0,0,1.9363282,21.31659798,11.87801713,25.02272086,8.17189425
2018-08-10,1,3,0,2.5012,6.17946861,24.99486659,14.37921713,31.20218947,8.17189425
2018-08-11,1,1,0,0,0.22213193,25.21699852,14.37921713,31.4243214,8.17189425
2018-08-12,1,2,0,0,2.59497436,27.81197288,14.37921713,34.01929576,8.17189425
2018-08-13,1,3,0,0.5004,-0.5832445,26.72832838,14.87961713,33.43605126,8.17189425
2018-08-14,1,5,0,0,-1.84925955,24.87906883,14.87961713,31.58679171,8.17189425
2018-08-15,1,4,0,0,2.78784106,27.66690989,14.87961713,34.37463277,8.17189425
2018-08-16,1,4,0,0,-0.07163975,27.59527014,14.87961713,34.30299302,8.17189425
2018-08-17,1,1,0,0,1.94483409,29.54010423,14.87961713,36.24782711,8.17189425
2018-08-18,1,5,0,0,-0.14448697,29.39561726,14.87961713,36.10334014,8.17189425
2018-08-19,1,3,0,0,0.93143313,30.32705039,14.87961713,37.03477327,8.17189425
2018-08-20,1,1,0,0,-0.15679569,30.1702547,14.87961713,36.87797758,8.17189425
2018-08-21,1,1,0,0,0.10983213,30.28008683,14.87961713,36.98780971,8.17189425
2018-08-22,1,1,0,0,0.13078942,30.41087625,14.87961713,37.11859913,8.17189425
2018-08-23,1,1,0,0,0.83769947,31.24857572,14.87961713,37.9562986,8.17189425
2018-08-24,1,1,0,0,0.34947615,31.59805187,14.87961713,38.30577475,8.17189425
2018-08-25,1,1,0,0,-1.68554728,29.91250459,14.87961713,36.62022747,8.17189425
2018-08-26,1,1,0,0,0.68477557,30.59728016,14.87961713,37.30500304,8.17189425
2018-08-27,1,1,0,0,-0.32545738,30.27182278,14.87961713,36.97954566,8.17189425
2018-08-28,1,1,0,0,-2.48604448,27.7857783,14.87961713,34.49350118,8.17189425
2018-08-29,1,2,0,0,1.12470754,28.91048584,14.87961713,35.61820872,8.17189425
2018-08-30,1,1,0,0,-0.8058994,28.10458644,14.87961713,34.81230932,8.17189425
2018-08-31,1,1,0,0,1.59776184,29.70234828,14.87961713,36.41007116,8.17189425
2018-09-01,1,1,0,0,-0.0374849,29.66486338,14.87961713,36.37258626,8.17189425
2018-09-02,1,1,0,0,0.50478088,30.16964426,14.87961713,36.87736714,8.17189425
2018-09-03,1,1,0,0,1.15584915,31.32549341,14.87961713,38.03321629,8.17189425
