date,amount_xbt,balance_after_xbt,equity_before_xbt,share_of_equity_before,cumulative_withdrawn_xbt,cumulative_realised_xbt,withdrawn_share_of_cumulative_realised,days_since_previous_withdrawal,days_since_profit_peak,drawdown_from_peak_xbt
2018-03-22,1.96801713,0,1.96801713,1,1.96801713,-0.24713766,,,2,-1.95590493
2018-03-30,0.2012,2.21035794,2.41155794,0.0834,2.16921713,0.40073847,5.413,8,10,-1.3080288
2018-03-31,0.2012,2.36217277,2.56337277,0.0785,2.37041713,0.7537533,3.1448,1,11,-0.95501397
2018-04-18,1.0012,3.33818361,4.33938361,0.2307,3.37161713,1.9974575,1.688,18,0,0
2018-04-24,1.0012,3.02608379,4.02728379,0.2486,4.37281713,2.68655768,1.6277,6,0,0
2018-04-25,0.5016,2.54538234,3.04698234,0.1646,4.87441713,2.70745623,1.8004,1,0,-0.06876912
2018-04-27,1.0012,3.80937178,4.26461302,0.2348,5.87561713,4.42668691,1.3273,2,0,0
2018-05-12,2.0012,5.65967584,7.66087584,0.2612,7.87681713,8.82414973,0.8926,15,0,0
2018-07-28,4.0012,22.88308672,26.88428672,0.1488,11.87801713,26.5892096,0.4467,77,0,0
2018-08-10,2.5012,24.99486659,27.49606659,0.091,14.37921713,31.20218947,0.4608,13,0,0
2018-08-13,0.5004,26.72832838,27.22872838,0.0184,14.87961713,33.43605126,0.445,3,0,-0.58431577
2018-09-05,7.012,30.21580918,37.22780918,0.1884,21.89161713,43.93553206,0.4983,23,0,0
2018-11-25,1.0012,69.76405751,70.76525751,0.0141,22.89281713,78.1676175,0.2929,81,0,0
2018-11-28,10.012,75.7119588,85.7239588,0.1168,32.90481713,94.12751879,0.3496,3,0,0
2018-11-29,10.012,68.89699932,78.90899932,0.1269,42.91681713,97.32455931,0.441,1,0,0
2018-12-07,10.012,98.10936439,108.12136439,0.0926,52.92881713,136.54892438,0.3876,8,0,0
2018-12-23,10.012,109.40339517,119.41539517,0.0838,62.94081713,157.85495516,0.3987,16,6,-4.51170683
